FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
H4L,56,4,10,54,44,44,45,44,46,45.517,-73.6831
H4M,72,3,10,86,81,78,72,14,25,45.4979,-73.6886
H4N,21.5,2,6.5,64,45.5,56,50.5,53,26.5,45.5263,-73.6649
H4V,21,4,8,70,80,50,50,50,50,45.4671,-73.6487
H7A,38.2,3.8,6.6,32,34,37.6,20,32.6,35.6,45.6739,-73.5924
H7B,66,2,8,30,6,59,19,59,5,45.6757,-73.6388
H7E,69,4,9,91,0,59,10,99,0,45.6225,-73.6949
H7K,40,5,9.3,30.7,21.7,45,41.3,82,9.7,45.6213,-73.7398
H7L,30,5,5,38,30,100,74,77,62,45.6168,-73.7825
H7M,51.5,3,6,43,32,43,20,78,38,45.5984,-73.7159
H7P,24,2,9,26,20,31,93,71,30,45.578,-73.8004
H7R,44,2,5,100,0,0,0,0,0,45.5526,-73.8507
H7V,51.3,2.7,7.3,57.3,44.3,34.3,29,23,25,45.5478,-73.7368
H7W,40,4,6,50,50,50,50,50,50,45.5338,-73.7652
H7X,54,4,10,21,17,46,41,84,2,45.5334,-73.8159
H8N,60.5,3.5,6,45.5,24.5,35.5,37,55.5,22.5,45.438,-73.6215
H8P,65,4,7,77,1,26,26,0,24,45.4011,-73.619
H8R,43,3.5,6.5,21,21.5,47,45.5,68.5,18,45.3994,-73.6506
H8S,49,2.7,6.3,33.7,30.3,39,21,34.3,28.3,45.4402,-73.6747
H8Y,59.7,3,6,41,51.3,45.7,24,22.3,23,45.5084,-73.8075
H9B,48,7,10,48,81,43,59,66,56,45.4897,-73.7958
H9G,69,5,5,62,62,34,1,1,1,45.4756,-73.8367
H9P,32,2,7,2,100,2,1,0,0,45.4679,-73.7748
H9R,21,4,6,29,72,25,21,16,5,45.4487,-73.8167
H9S,23,2,4,81,69,47,39,45,50,45.4414,-73.7749
H9X,72,3,9,56,48,48,15,0,0,45.4062,-73.9456
J0B,60,6,9,68,2,89,70,2,2,45.1001,-72.0491
J0E,57.4,2.1,8.1,43.4,30.9,25.4,22.6,39.3,14.7,45.2831,-72.5244
J0G,39,1.5,5.5,34,26.5,42,59.5,73,17.5,46.021,-72.8239
J0H,68,2.5,5,33,2,33.5,14.5,39.5,2.5,45.6609,-72.77
